id,symbol,target_fiscal_year,target_fiscal_period,snapshot_date,source,revenue_est_as_reported,eps_est_as_reported,num_analysts_revenue,num_analysts_eps,cumulative_split_factor,eps_est_current,revenue_est_current,pulled_at
1,AAPL,2020,Q3,2026-06-09,FMP_earnings_company,46.82977,0.51,,,4,0.12750000000000000000,46.82977,2026-06-09 11:40:00.107912+08
2,AAPL,2020,Q4,2026-06-09,FMP_earnings_company,63.8024,0.69,,,1,0.69000000000000000000,63.8024,2026-06-09 11:40:00.107912+08
3,AAPL,2021,Q1,2026-06-09,FMP_earnings_company,90.09962,1.41,,,1,1.41000000000000000000,90.09962,2026-06-09 11:40:00.107912+08
4,AAPL,2021,Q2,2026-06-09,FMP_earnings_company,76.9207,1,,,1,1.00000000000000000000,76.9207,2026-06-09 11:40:00.107912+08
5,AAPL,2021,Q3,2026-06-09,FMP_earnings_company,84.5819,1,,,1,1.00000000000000000000,84.5819,2026-06-09 11:40:00.107912+08
6,AAPL,2021,Q4,2026-06-09,FMP_earnings_company,117.986,1.24,,,1,1.24000000000000000000,117.986,2026-06-09 11:40:00.107912+08
7,AAPL,2022,Q1,2026-06-09,FMP_earnings_company,119.0025,1.89,,,1,1.89000000000000000000,119.0025,2026-06-09 11:40:00.107912+08
8,AAPL,2022,Q2,2026-06-09,FMP_earnings_company,94.0338,1.43,,,1,1.43000000000000000000,94.0338,2026-06-09 11:40:00.107912+08
9,AAPL,2022,Q3,2026-06-09,FMP_earnings_company,82.79124,1.14,,,1,1.14000000000000000000,82.79124,2026-06-09 11:40:00.107912+08
10,AAPL,2022,Q4,2026-06-09,FMP_earnings_company,88.73928,1.27,,,1,1.27000000000000000000,88.73928,2026-06-09 11:40:00.107912+08
11,AAPL,2023,Q1,2026-06-09,FMP_earnings_company,121.3333,1.93,,,1,1.93000000000000000000,121.3333,2026-06-09 11:40:00.107912+08
12,AAPL,2023,Q2,2026-06-09,FMP_earnings_company,92.90605,1.44,,,1,1.44000000000000000000,92.90605,2026-06-09 11:40:00.107912+08
13,AAPL,2023,Q3,2026-06-09,FMP_earnings_company,81.79492,1.19,,,1,1.19000000000000000000,81.79492,2026-06-09 11:40:00.107912+08
14,AAPL,2023,Q4,2026-06-09,FMP_earnings_company,89.3038,1.39,,,1,1.39000000000000000000,89.3038,2026-06-09 11:40:00.107912+08
15,AAPL,2024,Q1,2026-06-09,FMP_earnings_company,117.9866,2.1,,,1,2.1000000000000000,117.9866,2026-06-09 11:40:00.107912+08
16,AAPL,2024,Q2,2026-06-09,FMP_earnings_company,90.36611,1.51,,,1,1.51000000000000000000,90.36611,2026-06-09 11:40:00.107912+08
17,AAPL,2024,Q3,2026-06-09,FMP_earnings_company,84.48071,1.34,,,1,1.34000000000000000000,84.48071,2026-06-09 11:40:00.107912+08
18,AAPL,2024,Q4,2026-06-09,FMP_earnings_company,94.51195,1.6,,,1,1.60000000000000000000,94.51195,2026-06-09 11:40:00.107912+08
19,AAPL,2025,Q1,2026-06-09,FMP_earnings_company,124.2574,2.36,,,1,2.3600000000000000,124.2574,2026-06-09 11:40:00.107912+08
20,AAPL,2025,Q2,2026-06-09,FMP_earnings_company,94.54218,1.63,,,1,1.63000000000000000000,94.54218,2026-06-09 11:40:00.107912+08
21,AAPL,2025,Q3,2026-06-09,FMP_earnings_company,89.56274,1.44,,,1,1.44000000000000000000,89.56274,2026-06-09 11:40:00.107912+08
22,AAPL,2025,Q4,2026-06-09,FMP_earnings_company,102.2271,1.73,,,1,1.73000000000000000000,102.2271,2026-06-09 11:40:00.107912+08
23,AAPL,2026,Q1,2026-06-09,FMP_earnings_company,138.391,2.67,,,1,2.6700000000000000,138.391,2026-06-09 11:40:00.107912+08
24,AAPL,2026,Q2,2026-06-09,FMP_earnings_company,109.4576,1.95,,,1,1.95000000000000000000,109.4576,2026-06-09 11:40:00.107912+08
73,AMZN,2020,Q2,2026-06-09,FMP_earnings_company,12.603060194,0.07,,,20,0.00350000000000000000,12.603060194,2026-06-09 11:40:00.107912+08
74,AMZN,2020,Q3,2026-06-09,FMP_earnings_company,78.677360829,0.37,,,20,0.01850000000000000000,78.677360829,2026-06-09 11:40:00.107912+08
75,AMZN,2020,Q4,2026-06-09,FMP_earnings_company,120.761622016,0.36,,,20,0.01800000000000000000,120.761622016,2026-06-09 11:40:00.107912+08
76,AMZN,2021,Q1,2026-06-09,FMP_earnings_company,92.624208018,0.48,,,20,0.02400000000000000000,92.624208018,2026-06-09 11:40:00.107912+08
77,AMZN,2021,Q2,2026-06-09,FMP_earnings_company,111.678,0.62,,,20,0.03100000000000000000,111.678,2026-06-09 11:40:00.107912+08
78,AMZN,2021,Q3,2026-06-09,FMP_earnings_company,137.634,0.45,,,20,0.02250000000000000000,137.634,2026-06-09 11:40:00.107912+08
79,AMZN,2021,Q4,2026-06-09,FMP_earnings_company,137.68186459,0.19,,,20,0.00950000000000000000,137.68186459,2026-06-09 11:40:00.107912+08
80,AMZN,2022,Q1,2026-06-09,FMP_earnings_company,116.450273046,0.44,,,20,0.02200000000000000000,116.450273046,2026-06-09 11:40:00.107912+08
81,AMZN,2022,Q2,2026-06-09,FMP_earnings_company,118.999465993,0.15,,,1,0.15000000000000000000,118.999465993,2026-06-09 11:40:00.107912+08
82,AMZN,2022,Q3,2026-06-09,FMP_earnings_company,127.307504866,0.22,,,1,0.22000000000000000000,127.307504866,2026-06-09 11:40:00.107912+08
83,AMZN,2022,Q4,2026-06-09,FMP_earnings_company,145.712886275,0.15,,,1,0.15000000000000000000,145.712886275,2026-06-09 11:40:00.107912+08
84,AMZN,2023,Q1,2026-06-09,FMP_earnings_company,124.551,0.21,,,1,0.21000000000000000000,124.551,2026-06-09 11:40:00.107912+08
85,AMZN,2023,Q2,2026-06-09,FMP_earnings_company,119.573,0.35,,,1,0.35000000000000000000,119.573,2026-06-09 11:40:00.107912+08
86,AMZN,2023,Q3,2026-06-09,FMP_earnings_company,133.393,0.58,,,1,0.58000000000000000000,133.393,2026-06-09 11:40:00.107912+08
87,AMZN,2023,Q4,2026-06-09,FMP_earnings_company,166.172,0.8,,,1,0.80000000000000000000,166.172,2026-06-09 11:40:00.107912+08
88,AMZN,2024,Q1,2026-06-09,FMP_earnings_company,142.65416102,0.83,,,1,0.83000000000000000000,142.65416102,2026-06-09 11:40:00.107912+08
89,AMZN,2024,Q2,2026-06-09,FMP_earnings_company,148.665347243,1.03,,,1,1.03000000000000000000,148.665347243,2026-06-09 11:40:00.107912+08
90,AMZN,2024,Q3,2026-06-09,FMP_earnings_company,157.275157418,1.14,,,1,1.14000000000000000000,157.275157418,2026-06-09 11:40:00.107912+08
91,AMZN,2024,Q4,2026-06-09,FMP_earnings_company,187.337375136,1.49,,,1,1.49000000000000000000,187.337375136,2026-06-09 11:40:00.107912+08
92,AMZN,2025,Q1,2026-06-09,FMP_earnings_company,155.148014892,1.37,,,1,1.37000000000000000000,155.148014892,2026-06-09 11:40:00.107912+08
93,AMZN,2025,Q2,2026-06-09,FMP_earnings_company,161.77640497,1.31,,,1,1.31000000000000000000,161.77640497,2026-06-09 11:40:00.107912+08
94,AMZN,2025,Q3,2026-06-09,FMP_earnings_company,177.9132149,1.57,,,1,1.57000000000000000000,177.9132149,2026-06-09 11:40:00.107912+08
95,AMZN,2025,Q4,2026-06-09,FMP_earnings_company,211.4548,1.97,,,1,1.97000000000000000000,211.4548,2026-06-09 11:40:00.107912+08
96,AMZN,2026,Q1,2026-06-09,FMP_earnings_company,177.2817,1.63,,,1,1.63000000000000000000,177.2817,2026-06-09 11:40:00.107912+08
97,GOOGL,2020,Q2,2026-06-09,FMP_earnings_company,31.038338598,0.41,,,20,0.02050000000000000000,31.038338598,2026-06-09 11:40:00.107912+08
98,GOOGL,2020,Q3,2026-06-09,FMP_earnings_company,31.786168902,0.56,,,20,0.02800000000000000000,31.786168902,2026-06-09 11:40:00.107912+08
99,GOOGL,2020,Q4,2026-06-09,FMP_earnings_company,53.0749,0.8,,,20,0.04000000000000000000,53.0749,2026-06-09 11:40:00.107912+08
100,GOOGL,2021,Q1,2026-06-09,FMP_earnings_company,46.297503317,0.79,,,20,0.03950000000000000000,46.297503317,2026-06-09 11:40:00.107912+08
101,GOOGL,2021,Q2,2026-06-09,FMP_earnings_company,63.237,0.97,,,20,0.04850000000000000000,63.237,2026-06-09 11:40:00.107912+08
102,GOOGL,2021,Q3,2026-06-09,FMP_earnings_company,63.2595,1.17,,,20,0.05850000000000000000,63.2595,2026-06-09 11:40:00.107912+08
103,GOOGL,2021,Q4,2026-06-09,FMP_earnings_company,72.270996583,1.37,,,20,0.06850000000000000000,72.270996583,2026-06-09 11:40:00.107912+08
104,GOOGL,2022,Q1,2026-06-09,FMP_earnings_company,68.055248066,1.3,,,20,0.06500000000000000000,68.055248066,2026-06-09 11:40:00.107912+08
105,GOOGL,2022,Q2,2026-06-09,FMP_earnings_company,69.79884123,1.28,,,20,0.06400000000000000000,69.79884123,2026-06-09 11:40:00.107912+08
106,GOOGL,2022,Q3,2026-06-09,FMP_earnings_company,70.976575302,1.25,,,1,1.25000000000000000000,70.976575302,2026-06-09 11:40:00.107912+08
107,GOOGL,2022,Q4,2026-06-09,FMP_earnings_company,76.17859964,1.18,,,1,1.18000000000000000000,76.17859964,2026-06-09 11:40:00.107912+08
108,GOOGL,2023,Q1,2026-06-09,FMP_earnings_company,68.904,1.07,,,1,1.07000000000000000000,68.904,2026-06-09 11:40:00.107912+08
109,GOOGL,2023,Q2,2026-06-09,FMP_earnings_company,72.7989,1.34,,,1,1.34000000000000000000,72.7989,2026-06-09 11:40:00.107912+08
110,GOOGL,2023,Q3,2026-06-09,FMP_earnings_company,75.9438,1.45,,,1,1.45000000000000000000,75.9438,2026-06-09 11:40:00.107912+08
111,GOOGL,2023,Q4,2026-06-09,FMP_earnings_company,85.3058,1.59,,,1,1.59000000000000000000,85.3058,2026-06-09 11:40:00.107912+08
112,GOOGL,2024,Q1,2026-06-09,FMP_earnings_company,78.6092,1.51,,,1,1.51000000000000000000,78.6092,2026-06-09 11:40:00.107912+08
113,GOOGL,2024,Q2,2026-06-09,FMP_earnings_company,84.191,1.84,,,1,1.84000000000000000000,84.191,2026-06-09 11:40:00.107912+08
114,GOOGL,2024,Q3,2026-06-09,FMP_earnings_company,86.3029,1.85,,,1,1.85000000000000000000,86.3029,2026-06-09 11:40:00.107912+08
115,GOOGL,2024,Q4,2026-06-09,FMP_earnings_company,96.66896954,2.12,,,1,2.1200000000000000,96.66896954,2026-06-09 11:40:00.107912+08
116,GOOGL,2025,Q1,2026-06-09,FMP_earnings_company,89.15205627,2.02,,,1,2.0200000000000000,89.15205627,2026-06-09 11:40:00.107912+08
117,GOOGL,2025,Q2,2026-06-09,FMP_earnings_company,99.82621537,2.15,,,1,2.1500000000000000,99.82621537,2026-06-09 11:40:00.107912+08
118,GOOGL,2025,Q3,2026-06-09,FMP_earnings_company,99.92740949,2.3,,,1,2.3000000000000000,99.92740949,2026-06-09 11:40:00.107912+08
119,GOOGL,2025,Q4,2026-06-09,FMP_earnings_company,111.3324,2.57,,,1,2.5700000000000000,111.3324,2026-06-09 11:40:00.107912+08
120,GOOGL,2026,Q1,2026-06-09,FMP_earnings_company,106.9761,2.64,,,1,2.6400000000000000,106.9761,2026-06-09 11:40:00.107912+08
121,META,2020,Q2,2026-06-09,FMP_earnings_company,14.430516666,1.39,,,1,1.39000000000000000000,14.430516666,2026-06-09 11:40:00.107912+08
122,META,2020,Q3,2026-06-09,FMP_earnings_company,15.131992619,1.91,,,1,1.91000000000000000000,15.131992619,2026-06-09 11:40:00.107912+08
123,META,2020,Q4,2026-06-09,FMP_earnings_company,22.31731677,3.22,,,1,3.2200000000000000,22.31731677,2026-06-09 11:40:00.107912+08
124,META,2021,Q1,2026-06-09,FMP_earnings_company,23.5168,2.37,,,1,2.3700000000000000,23.5168,2026-06-09 11:40:00.107912+08
125,META,2021,Q2,2026-06-09,FMP_earnings_company,29.4817,3.03,,,1,3.0300000000000000,29.4817,2026-06-09 11:40:00.107912+08
126,META,2021,Q3,2026-06-09,FMP_earnings_company,29.5456,3.19,,,1,3.1900000000000000,29.5456,2026-06-09 11:40:00.107912+08
127,META,2021,Q4,2026-06-09,FMP_earnings_company,33.370161276,3.84,,,1,3.8400000000000000,33.370161276,2026-06-09 11:40:00.107912+08
128,META,2022,Q1,2026-06-09,FMP_earnings_company,28.278997754,2.56,,,1,2.5600000000000000,28.278997754,2026-06-09 11:40:00.107912+08
129,META,2022,Q2,2026-06-09,FMP_earnings_company,28.908384447,2.59,,,1,2.5900000000000000,28.908384447,2026-06-09 11:40:00.107912+08
130,META,2022,Q3,2026-06-09,FMP_earnings_company,27.439470981,1.89,,,1,1.89000000000000000000,27.439470981,2026-06-09 11:40:00.107912+08
131,META,2022,Q4,2026-06-09,FMP_earnings_company,31.551048476,2.22,,,1,2.2200000000000000,31.551048476,2026-06-09 11:40:00.107912+08
132,META,2023,Q1,2026-06-09,FMP_earnings_company,27.6546,2.03,,,1,2.0300000000000000,27.6546,2026-06-09 11:40:00.107912+08
133,META,2023,Q2,2026-06-09,FMP_earnings_company,27.9683,2.92,,,1,2.9200000000000000,27.9683,2026-06-09 11:40:00.107912+08
134,META,2023,Q3,2026-06-09,FMP_earnings_company,31.6472,3.63,,,1,3.6300000000000000,31.6472,2026-06-09 11:40:00.107912+08
135,META,2023,Q4,2026-06-09,FMP_earnings_company,39.1688,4.96,,,1,4.9600000000000000,39.1688,2026-06-09 11:40:00.107912+08
136,META,2024,Q1,2026-06-09,FMP_earnings_company,36.146676261,4.32,,,1,4.3200000000000000,36.146676261,2026-06-09 11:40:00.107912+08
137,META,2024,Q2,2026-06-09,FMP_earnings_company,38.261443896,4.73,,,1,4.7300000000000000,38.261443896,2026-06-09 11:40:00.107912+08
138,META,2024,Q3,2026-06-09,FMP_earnings_company,40.202943776,5.25,,,1,5.2500000000000000,40.202943776,2026-06-09 11:40:00.107912+08
139,META,2024,Q4,2026-06-09,FMP_earnings_company,47.004057689,6.75,,,1,6.7500000000000000,47.004057689,2026-06-09 11:40:00.107912+08
