symbol,fiscal_year,fiscal_period,quarter_label,calendar_period,period_end,report_date,calendar_quarter,calendar_quarter_override,revenue_actual,gaap_ni,gaap_eps_diluted_as_reported,dil_shares_as_reported,ng_ni,ng_eps_as_reported,cumulative_split_factor,gaap_eps_diluted_current,dil_shares_current,ng_eps_current,revenue_consensus,ng_eps_consensus_as_reported,ng_eps_consensus_current,ni_consensus,num_analysts_revenue,num_analysts_eps,consensus_last_refreshed,consensus_source,rev_beat_miss_pct,rev_qoq_pct,rev_yoy_pct,gaap_ni_beat_miss_pct,gaap_ni_qoq_pct,gaap_ni_yoy_pct,gaap_eps_qoq_pct,gaap_eps_yoy_pct,ng_ni_qoq_pct,ng_ni_yoy_pct,ng_eps_beat_miss_pct,ng_eps_qoq_pct,ng_eps_yoy_pct,non_gaap_basis_override,basis_change_event,actuals_source_url,actuals_filing_date,is_restated,last_verified_at,last_verified_against,notes,created_at,updated_at
AAPL,2020,Q3,FQ3 2020,Apr-Jun 2020,2020-06-27,2020-07-30,Q2 2020,,59.685,11.253,0.65,17419.152,11.253,0.64,4,0.16250000000000000000,69676.608,0.16000000000000000000,46.82977,0.51,0.12750000000000000000,,,,2026-06-09 11:40:04.583771+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2020-07-31,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2020,Q4,FQ4 2020,Jul-Sep 2020,2020-09-26,2020-10-29,Q3 2020,,64.698,12.673,0.73,17256.521,12.673,0.73,1,0.73000000000000000000,17256.521,0.73000000000000000000,63.8024,0.69,0.69000000000000000000,,,,2026-06-09 11:40:04.583771+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2020-10-30,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2021,Q1,FQ1 2021,Oct-Dec 2020,2020-12-26,2021-01-27,Q4 2020,,111.439,28.755,1.68,17113.688,28.755,1.68,1,1.68000000000000000000,17113.688,1.68000000000000000000,90.09962,1.41,1.41000000000000000000,,,,2026-06-09 11:40:04.584472+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2021-01-28,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2021,Q2,FQ2 2021,Jan-Mar 2021,2021-03-27,2021-04-28,Q1 2021,,89.584,23.63,1.4,16929.157,23.63,1.4,1,1.40000000000000000000,16929.157,1.40000000000000000000,76.9207,1,1.00000000000000000000,,,,2026-06-09 11:40:04.584472+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2021-04-29,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2021,Q3,FQ3 2021,Apr-Jun 2021,2021-06-26,2021-07-27,Q2 2021,,81.434,21.744,1.3,16781.735,21.744,1.3,1,1.30000000000000000000,16781.735,1.30000000000000000000,84.5819,1,1.00000000000000000000,,,,2026-06-09 11:40:04.584472+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2021-07-28,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2021,Q4,FQ4 2021,Jul-Sep 2021,2021-09-25,2021-10-28,Q3 2021,,83.36,20.551,1.24,16635.097,20.551,1.24,1,1.24000000000000000000,16635.097,1.24000000000000000000,117.986,1.24,1.24000000000000000000,,,,2026-06-09 11:40:04.585025+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2021-10-29,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2022,Q1,FQ1 2022,Oct-Dec 2021,2021-12-25,2022-01-27,Q4 2021,,123.945,34.63,2.1,16519.291,34.63,2.1,1,2.1000000000000000,16519.291,2.1000000000000000,119.0025,1.89,1.89000000000000000000,,,,2026-06-09 11:40:04.585025+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2022-01-28,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2022,Q2,FQ2 2022,Jan-Mar 2022,2022-03-26,2022-04-28,Q1 2022,,97.278,25.01,1.52,16403.316,25.01,1.52,1,1.52000000000000000000,16403.316,1.52000000000000000000,94.0338,1.43,1.43000000000000000000,,,,2026-06-09 11:40:04.585025+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2022-04-29,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2022,Q3,FQ3 2022,Apr-Jun 2022,2022-06-25,2022-07-28,Q2 2022,,82.959,19.442,1.2,16262.203,19.442,1.2,1,1.20000000000000000000,16262.203,1.20000000000000000000,82.79124,1.14,1.14000000000000000000,,,,2026-06-09 11:40:04.585589+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2022-07-29,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
AAPL,2022,Q4,FQ4 2022,Jul-Sep 2022,2022-09-24,2022-10-27,Q3 2022,,90.146,20.721,1.29,16118.465,20.721,1.29,1,1.29000000000000000000,16118.465,1.29000000000000000000,88.73928,1.27,1.27000000000000000000,,,,2026-06-09 11:40:04.585589+08,FMP_earnings_company,,,,,,,,,,,,,,,,,2022-10-28,f,,,,2026-06-09 11:40:00.107912+08,2026-06-09 11:40:00.107912+08
